CEEFBC3E	animData.bin
66BED268	mega_pokemon_319.bch
8EFD72B6	mega_pokemon_319_lo.bch
41DC074A	mega_pokemon_323.bch
E2D76E3A	mega_pokemon_323_lo.bch
6CC7DC7A	mega_pokemon_334.bch
63E2B57A	mega_pokemon_334_lo.bch
06DE2672	mega_pokemon_354.bch
A27D2850	mega_pokemon_354_lo.bch
123D5DB6	mega_pokemon_359.bch
28ABAF2A	mega_pokemon_359_lo.bch
E158FDB8	mega_pokemon_362.bch
D49B1C30	mega_pokemon_362_lo.bch
BA9FB0C6	mega_pokemon_373.bch
F29D74DA	mega_pokemon_373_lo.bch
51CAFAE4	mega_pokemon_376.bch
86C73448	mega_pokemon_376_lo.bch
39EA8D88	mega_pokemon_380.bch
F76F790C	mega_pokemon_380_lo.bch
27D85EB0	mega_pokemon_381.bch
3A649F48	mega_pokemon_381_lo.bch
ED4EB932	mega_pokemon_384.bch
D8D356D8	mega_pokemon_384_lo.bch
182449E0	mega_pokemon_428.bch
A46FBA96	mega_pokemon_428_lo.bch
884A0E7C	mega_pokemon_445.bch
43A4E524	mega_pokemon_445_lo.bch
78656608	mega_pokemon_448.bch
63CA3450	mega_pokemon_448_lo.bch
9CC9E866	mega_pokemon_460.bch
8D2DADBA	mega_pokemon_460_lo.bch
5FB63C82	mega_pokemon_475.bch
03F57762	mega_pokemon_475_lo.bch
86EC5054	mega_pokemon_531.bch
D52B3950	mega_pokemon_531_lo.bch
B0F9C7F6	mega_pokemon_719.bch
73E92100	mega_pokemon_719_lo.bch
933A2588	mega_pokemon_icon.bch
03E361B0	mega_pokemon_l_003.bch
FE4347FE	mega_pokemon_l_003.bch
2236B25A	mega_pokemon_l_006.bch
72C748CC	mega_pokemon_l_006.bch
618AAB34	mega_pokemon_l_006_01.bch
72494286	mega_pokemon_l_006_01.bch
0F975C86	mega_pokemon_l_009.bch
0A81DEFC	mega_pokemon_l_009.bch
67B2A6AA	mega_pokemon_l_015.bch
1C2960A6	mega_pokemon_l_015.bch
D28BABF2	mega_pokemon_l_018.bch
31C68146	mega_pokemon_l_018.bch
2D929452	mega_pokemon_l_065.bch
52282BA4	mega_pokemon_l_065.bch
ABF2F1E8	mega_pokemon_l_080.bch
AFED69D4	mega_pokemon_l_080.bch
E1C5F024	mega_pokemon_l_094.bch
B70020E8	mega_pokemon_l_094.bch
AA5340B2	mega_pokemon_l_115.bch
A82D9604	mega_pokemon_l_115.bch
3C700C52	mega_pokemon_l_127.bch
6215262E	mega_pokemon_l_127.bch
886DCA58	mega_pokemon_l_130.bch
FEF05944	mega_pokemon_l_130.bch
720D4ABC	mega_pokemon_l_142.bch
75F3071A	mega_pokemon_l_142.bch
37A81D88	mega_pokemon_l_150.bch
363FC2BA	mega_pokemon_l_150.bch
35343826	mega_pokemon_l_150_01.bch
7462EDFA	mega_pokemon_l_150_01.bch
B9871E90	mega_pokemon_l_181.bch
9D65B630	mega_pokemon_l_181.bch
3CC5B6D0	mega_pokemon_l_208.bch
24B71CC2	mega_pokemon_l_208.bch
4A831EFA	mega_pokemon_l_212.bch
C28C84F6	mega_pokemon_l_212.bch
475C8162	mega_pokemon_l_214.bch
CE161FC6	mega_pokemon_l_214.bch
1E4CC002	mega_pokemon_l_229.bch
044F3D7E	mega_pokemon_l_229.bch
F9908108	mega_pokemon_l_248.bch
36A97D50	mega_pokemon_l_248.bch
A14BB77E	mega_pokemon_l_254.bch
95688ECC	mega_pokemon_l_254.bch
AFFE314A	mega_pokemon_l_257.bch
9197D1DC	mega_pokemon_l_257.bch
56460CD4	mega_pokemon_l_260.bch
594574E4	mega_pokemon_l_260.bch
A6090000	mega_pokemon_l_282.bch
EC2A4C86	mega_pokemon_l_282.bch
79E4B9BA	mega_pokemon_l_302.bch
51BA9B76	mega_pokemon_l_302.bch
7782C46A	mega_pokemon_l_303.bch
4CABE7BE	mega_pokemon_l_303.bch
1024F548	mega_pokemon_l_306.bch
53ED8442	mega_pokemon_l_306.bch
7BE09C70	mega_pokemon_l_308.bch
25FB3656	mega_pokemon_l_308.bch
50251594	mega_pokemon_l_310.bch
AA064E78	mega_pokemon_l_310.bch
663F60DC	mega_pokemon_l_319.bch
A7E053A4	mega_pokemon_l_319.bch
87A4B2B4	mega_pokemon_l_323.bch
4D4E4D32	mega_pokemon_l_323.bch
915E5E24	mega_pokemon_l_334.bch
837D9420	mega_pokemon_l_334.bch
1AE2A7B4	mega_pokemon_l_354.bch
A4525976	mega_pokemon_l_354.bch
2DF5EDAC	mega_pokemon_l_359.bch
C7A278B0	mega_pokemon_l_359.bch
4B007A94	mega_pokemon_l_362.bch
2D600890	mega_pokemon_l_362.bch
908CEDDA	mega_pokemon_l_373.bch
DECED14A	mega_pokemon_l_373.bch
8BC99EDE	mega_pokemon_l_376.bch
CEA6BA16	mega_pokemon_l_376.bch
38F016A4	mega_pokemon_l_380.bch
CC025762	mega_pokemon_l_380.bch
42BFB184	mega_pokemon_l_381.bch
CA019E9A	mega_pokemon_l_381.bch
603EB5F4	mega_pokemon_l_384.bch
CD8EC94A	mega_pokemon_l_384.bch
515B4960	mega_pokemon_l_428.bch
CDD0F3D4	mega_pokemon_l_428.bch
F838FA32	mega_pokemon_l_445.bch
E0BA4A6A	mega_pokemon_l_445.bch
808C4B92	mega_pokemon_l_448.bch
D0812BA2	mega_pokemon_l_448.bch
AE300730	mega_pokemon_l_460.bch
2FD8AFEA	mega_pokemon_l_460.bch
F2488722	mega_pokemon_l_475.bch
43F5081A	mega_pokemon_l_475.bch
620AAA16	mega_pokemon_l_531.bch
3A288E0E	mega_pokemon_l_531.bch
A20B32C0	mega_pokemon_l_719.bch
5D8A6DBA	mega_pokemon_l_719.bch
1CA792F6	MegaEvoGauge.arc
E632845A	megaEvolution.bin
ACA9ABBC	MegaStone.arc
299DFCA2	megaStone.bin
D589A650	MegaStone003.bch
43E94220	MegaStone006_X.bch
6D5A4472	MegaStone006_Y.bch
2194DFE2	MegaStone009.bch
D7664546	MegaStone015.bch
EC2037F6	MegaStone018.bch
0F311F60	MegaStone065.bch
0FC236FC	MegaStone080.bch
8F27C58A	MegaStone094.bch
018C3BA0	MegaStone115.bch
BECA9090	MegaStone127.bch
4AB9BD1E	MegaStone130.bch
D8171F1C	MegaStone142.bch
657DE6C8	MegaStone150_X.bch
F21E97CA	MegaStone150_Y.bch
0D74BE0A	MegaStone181.bch
9C46B134	MegaStone208.bch
F5C1F550	MegaStone212.bch
F12D29A8	MegaStone214.bch
686BE8E8	MegaStone229.bch
DC0CD0EE	MegaStone248.bch
A909FF80	MegaStone254.bch
7EAC1A40	MegaStone257.bch
E46D3A62	MegaStone260.bch
8BABC0F8	MegaStone282.bch
0A2ABE96	MegaStone302.bch
0D981DC2	MegaStone303.bch
38572292	MegaStone306.bch
1CA212EA	MegaStone308.bch
354E34EA	MegaStone310.bch
66907218	MegaStone319.bch
B3E6AE58	MegaStone323.bch
6B924106	MegaStone334.bch
6C074042	MegaStone354.bch
64F865AA	MegaStone359.bch
DE853302	MegaStone362.bch
93EC758A	MegaStone373.bch
6C23DE58	MegaStone376.bch
1240BDE4	MegaStone380.bch
1024CAF8	MegaStone381.bch
155E3EBA	MegaStone384.bch
3765C236	MegaStone428.bch
0318C34C	MegaStone445.bch
11679A6C	MegaStone448.bch
125E2DB0	MegaStone460.bch
F187BE00	MegaStone475.bch
1956733A	MegaStone531.bch
17ECC7A4	MegaStone719.bch
0B434B1E	menuCec.gmb
D66C8026	menuItemSet.gmb
EC4A4BBC	menuItemSetDialog.gmb
980FA912	menuMyData.gmb
9C59B94E	menuOption.gmb
0B6C8968	menuPokemonGet.gmb
642C32E8	menuPokemonSet.gmb
D1B9C2F4	menuPuzzleContinue.gmb
8351DD6E	menuPuzzleItem.gmb
8CA566FC	menuPuzzlePause.gmb
3CEB6268	menuPuzzleTrainer.gmb
D6A1AA66	menuPuzzleUtil.gmb
E307A4AA	menuRanking.gmb
2AE5A7B2	menuResident.gmb
ADF8E0C0	menuSerialCode.gmb
70D2AEA8	menuShop.gmb
D56C82C0	menuShopDialog.gmb
CF9640B6	menuStageDetails.gmb
60D7AC94	menuStageResult.gmb
16C972C4	menuStageSelect.gmb
0C70D28C	menuSupport.gmb
0DF554CA	menuTitle.gmb
FFC7CDE6	messageCheckIn_{0}.bin
CBED7E78	messageCommon_{0}.bin
1B53DAD0	messageCoreGame_{0}.bin
682C56C8	messageEventStage_{0}.bin
CADEBF7E	messageItemSelect_{0}.bin
EA43AF22	messageMyData_{0}.bin
424A65D0	messagePassword_{0}.bin
59769B10	messagePokedex_{0}.bin
3BA59AEC	messagePokemonEdit_{0}.bin
F62FC5D4	messagePokemonList_{0}.bin
33EB03B0	messagePokemonType_{0}.bin
35E1851C	messageRanking_{0}.bin
9D8ABD6A	messageResult_{0}.bin
7F536FF2	messageRMShop_{0}.bin
246AEE48	messageSettings_{0}.bin
AA85EB66	messageShop_{0}.bin
EE894B20	messageStageSelect_{0}.bin
ACE832A0	messageStreetPass_{0}.bin
35674950	messageSupportNumber_{0}.bin
0EC59F16	messageTitle_{0}.bin
7F1C9C7A	messageTutorial_{0}.bin
1415E1F0	MVPIcon.arc
27C38038	MyData.arc
41A1D0EE	network.gmb
0564314C	NetworkSet.arc
27FBDAC8	NetworkSetButton.arc
285F2086	NewIcon.arc
8A4369A0	nnfont_RectDrawerShader.shbin
94E97146	nwh3d_DefaultShader.bch
E320118A	OrangeInfoLifeJewel.arc
B1EAA5B2	OrangeInfoPokemon.arc
59D6394E	overAge.bin
9587B502	PassWord.arc
02DF9938	PauseButton.arc
F39E029E	PazzleOrangeInfo.arc
95E91DEE	PazzleOrangeStepTime.arc
983EB238	pltt_dbg.act
C20C4784	PokeGetFailure.arc
46E30F62	PokeGetMonsBall.arc
27C552E6	PokeGetSuccess.arc
F9D3F6C2	PokeLevelGauge.arc
5562D8FE	PokeLevelGauge_FR.arc
33456008	PokeLevelGauge_GE.arc
7E3B18A4	PokeLevelGauge_IT.arc
498B7458	PokeLevelGauge_SP.arc
CE51E5CC	PokeLevelGauge_UK.arc
BA1CA8FE	PokeLevelGauge_US.arc
36A1C348	PokeLevelGaugeBig.arc
FF0D2562	Pokemon.arc
1729B0E8	pokemon_001.bch
13D3284C	pokemon_002.bch
110418C8	pokemon_003.bch
7564A1E4	pokemon_004.bch
77375718	pokemon_005.bch
E0B3FC94	pokemon_006.bch
E2B22EC0	pokemon_007.bch
ECB7CCB0	pokemon_008.bch
EE64EB0C	pokemon_009.bch
5311EC3E	pokemon_010.bch
5F84F182	pokemon_011.bch
55DF51FE	pokemon_012.bch
AC3A63F2	pokemon_013.bch
5B70405E	pokemon_014.bch
81FBAD3A	pokemon_015.bch
5F53855E	pokemon_016.bch
8498DF5E	pokemon_017.bch
829696BE	pokemon_018.bch
4A7EE376	pokemon_019.bch
EDF6A85E	pokemon_020.bch
E4FCB36A	pokemon_021.bch
16DBF71E	pokemon_022.bch
F8656082	pokemon_023.bch
FA77327E	pokemon_024.bch
FC58B5DA	pokemon_025.bch
0FA61EBE	pokemon_026.bch
3181A018	pokemon_027.bch
33B3064C	pokemon_028.bch
345BAA98	pokemon_029.bch
4EF6FD82	pokemon_030.bch
4DF1869E	pokemon_031.bch
4ACB32CA	pokemon_032.bch
4099ED58	pokemon_033.bch
47F55BE0	pokemon_034.bch
45FC96A0	pokemon_035.bch
438AC328	pokemon_036.bch
95E0B084	pokemon_037.bch
5AB22860	pokemon_038.bch
40DD9DEC	pokemon_039.bch
E60ABDC8	pokemon_040.bch
D1A0D328	pokemon_041.bch
C278D440	pokemon_042.bch
EC0AEA90	pokemon_043.bch
EFEF6478	pokemon_044.bch
D8B676E8	pokemon_045.bch
EAD71930	pokemon_046.bch
D21F32EC	pokemon_047.bch
F40F9340	pokemon_048.bch
EEA12CB4	pokemon_049.bch
4F7ACCF0	pokemon_050.bch
97479BF8	pokemon_051.bch
BC937AC8	pokemon_052.bch
BACB25D8	pokemon_053.bch
40DCD4B0	pokemon_054.bch
4D06B580	pokemon_055.bch
943FD326	pokemon_056.bch
53898F2E	pokemon_057.bch
D0DB369E	pokemon_058.bch
EEC58076	pokemon_059.bch
DCA1EA7C	pokemon_060.bch
DE77CD3C	pokemon_061.bch
31FC284C	pokemon_062.bch
33D2365C	pokemon_063.bch
C5A0CF1C	pokemon_064.bch
C616D96C	pokemon_065.bch
1A4BC654	pokemon_066.bch
55B19B50	pokemon_067.bch
6FFFBE24	pokemon_068.bch
51CD45D8	pokemon_069.bch
08ECA6CE	pokemon_070.bch
0AD56E5A	pokemon_071.bch
3EF6869C	pokemon_072.bch
3CC48784	pokemon_073.bch
325B930C	pokemon_074.bch
3069DAB4	pokemon_075.bch
5947F242	pokemon_076.bch
046FD482	pokemon_077.bch
5D7B2E62	pokemon_078.bch
5B516372	pokemon_079.bch
E057532A	pokemon_080.bch
E256D19E	pokemon_081.bch
1D683222	pokemon_082.bch
1F1AF47E	pokemon_083.bch
1924673A	pokemon_084.bch
